account_id,customer_id,account_type,branch_id,account_status,open_date
A000039,C00006,CREDIT_CARD,BR002,ACTIVE,2022-10-29
A000040,C00073,SAVINGS,BR007,DORMANT,2020-03-08
A000041,C00043,BROKERAGE,BR006,ACTIVE,2024-02-27
A000042,C00029,CHECKING,BR007,ACTIVE,2024-11-07
A000043,C00057,CREDIT_CARD,BR010,DORMANT,2025-01-13
A000044,C00040,BROKERAGE,BR008,ACTIVE,2022-01-04
A000045,C00024,CREDIT_CARD,BR004,DORMANT,2019-12-21
A000046,C00079,CREDIT_CARD,BR008,ACTIVE,2024-03-18
A000047,C00005,WEALTH,BR010,ACTIVE,2022-10-09
A000048,C00012,SAVINGS,BR008,DORMANT,2021-01-14
A000049,C00035,BROKERAGE,BR004,ACTIVE,2021-11-24
A000050,C00058,CREDIT_CARD,BR005,DORMANT,2022-02-05
A000051,C00070,WEALTH,BR001,ACTIVE,2021-02-21
A000052,C00047,SAVINGS,BR004,ACTIVE,2024-06-24
A000053,C00063,WEALTH,BR004,ACTIVE,2024-07-03
A000054,C00053,BROKERAGE,BR001,ACTIVE,2021-06-26
A000055,C00061,BROKERAGE,BR012,ACTIVE,2025-07-10
A000056,C00068,CREDIT_CARD,BR008,ACTIVE,2022-11-09
A000057,C00030,BROKERAGE,BR012,ACTIVE,2022-12-12
A000058,C00032,BROKERAGE,BR005,ACTIVE,2021-08-02
A000059,C00062,SAVINGS,BR012,ACTIVE,2020-05-04
A000060,C00033,WEALTH,BR012,ACTIVE,2021-06-05
A000061,C00052,BROKERAGE,BR005,ACTIVE,2024-11-18
A000062,C00015,WEALTH,BR005,FROZEN,2021-03-06
A000063,C00042,CREDIT_CARD,BR004,ACTIVE,2022-05-23
A000064,C00022,SAVINGS,BR012,ACTIVE,2022-01-28
A000065,C00075,SAVINGS,BR001,ACTIVE,2020-06-01
A000066,C00037,BROKERAGE,BR002,DORMANT,2025-06-09
A000067,C00003,CREDIT_CARD,BR008,ACTIVE,2022-10-27
A000068,C00048,CHECKING,BR001,ACTIVE,2024-05-10
A000069,C00019,SAVINGS,BR002,ACTIVE,2019-10-31
A000070,C00045,WEALTH,BR011,ACTIVE,2020-09-13
A000071,C00008,CHECKING,BR010,CLOSED,2019-12-15
A000072,C00071,CHECKING,BR002,ACTIVE,2023-09-01
A000073,C00076,WEALTH,BR010,ACTIVE,2021-07-13
A000074,C00023,WEALTH,BR007,ACTIVE,2023-12-19
A000075,C00054,CREDIT_CARD,BR010,FROZEN,2022-06-04
A000076,C00013,WEALTH,BR010,ACTIVE,2020-02-11
A000077,C00039,CHECKING,BR011,ACTIVE,2019-11-29
A000078,C00036,CHECKING,BR004,ACTIVE,2019-11-04
A000079,C00041,CHECKING,BR001,ACTIVE,2024-04-08
A000080,C00016,CREDIT_CARD,BR001,ACTIVE,2022-03-04
A000081,C00059,SAVINGS,BR011,DORMANT,2021-06-25
A000082,C00005,WEALTH,BR011,DORMANT,2022-05-20
A000083,C00015,WEALTH,BR004,DORMANT,2021-06-28
A000084,C00019,SAVINGS,BR001,DORMANT,2024-06-11
A000085,C00040,WEALTH,BR012,CLOSED,2022-06-18
A000086,C00016,BROKERAGE,BR012,CLOSED,2023-12-04
A000087,C00052,CREDIT_CARD,BR009,FROZEN,2022-06-15
A000088,C00011,WEALTH,BR001,FROZEN,2024-02-13
A000089,C00042,WEALTH,BR005,ACTIVE,2020-07-06
A000090,C00030,WEALTH,BR010,ACTIVE,2024-04-15
A000091,C00035,WEALTH,BR001,DORMANT,2022-08-21
A000092,C00067,BROKERAGE,BR005,DORMANT,2023-04-13
A000093,C00056,BROKERAGE,BR002,FROZEN,2021-12-13
A000094,C00053,CREDIT_CARD,BR006,ACTIVE,2024-10-22
A000095,C00021,CREDIT_CARD,BR007,FROZEN,2021-08-13
A000096,C00052,WEALTH,BR001,FROZEN,2020-06-29
A000097,C00041,CREDIT_CARD,BR006,ACTIVE,2024-05-01
A000098,C00052,WEALTH,BR001,FROZEN,2022-04-26
A000099,C00007,CHECKING,BR009,CLOSED,2023-06-29
A000100,C00064,BROKERAGE,BR001,DORMANT,2021-06-30
A000101,C99999,SAVINGS,BR001,ACTIVE,2024-02-01
