transaction_id,account_id,transaction_type,amount,currency,merchant_category,transaction_timestamp,transaction_status
T00000052,A000037,CREDIT,4747.11,USD,HEALTHCARE,2024-07-21 21:49:14,COMPLETED
T00000053,A000027,DEBIT,1693.82,USD,DINING,2024-03-02 00:16:53,COMPLETED
T00000054,A000056,DEBIT,3044.76,USD,DINING,2024-02-06 14:27:24,FAILED
T00000055,A000006,CREDIT,3680.74,USD,UTILITIES,2024-10-20 14:43:28,COMPLETED
T00000056,A000054,DEBIT,3243.23,USD,INSURANCE,2024-08-23 13:10:28,COMPLETED
T00000057,A000014,DEBIT,4713.03,USD,ATM_WITHDRAWAL,2025-01-16 12:21:40,COMPLETED
T00000058,A000100,DEBIT,4086.31,USD,DINING,2024-06-28 23:29:59,COMPLETED
T00000059,A000031,DEBIT,2051.47,USD,TRAVEL,2024-03-31 22:51:46,COMPLETED
T00000060,A000097,CREDIT,4637.85,EUR,INSURANCE,2024-06-14 22:50:10,COMPLETED
T00000061,A000057,DEBIT,3540.45,USD,GROCERY,2024-06-29 18:28:17,COMPLETED
T00000062,A000060,CREDIT,459.84,USD,TRAVEL,2024-11-10 21:37:47,COMPLETED
T00000063,A000060,CREDIT,7634.08,USD,INSURANCE,2024-11-29 06:51:12,COMPLETED
T00000064,A000061,CREDIT,7661.99,EUR,DINING,2025-05-17 03:04:13,COMPLETED
T00000065,A000023,DEBIT,5662.44,USD,INSURANCE,2024-03-22 13:14:56,COMPLETED
T00000066,A000037,DEBIT,6196.85,USD,DINING,2024-02-03 12:00:13,COMPLETED
T00000067,A000087,DEBIT,2019.71,GBP,INSURANCE,2025-03-23 05:28:29,COMPLETED
T00000068,A000075,CREDIT,7334.39,INR,UTILITIES,2024-03-07 21:39:53,COMPLETED
T00000069,A000011,DEBIT,3016.55,EUR,INVESTMENT,2024-02-17 23:31:15,COMPLETED
T00000070,A000066,DEBIT,2903.97,USD,ECOMMERCE,2024-04-08 08:14:53,BLOCKED
T00000071,A000020,DEBIT,6756.2,INR,INVESTMENT,2024-01-20 12:15:40,FAILED
T00000072,A000080,DEBIT,3016.88,EUR,INSURANCE,2025-02-18 06:01:37,COMPLETED
T00000073,A000006,CREDIT,5412.52,USD,ATM_WITHDRAWAL,2025-01-20 16:20:41,COMPLETED
T00000074,A000031,DEBIT,6469.95,EUR,DINING,2024-12-13 20:46:06,BLOCKED
T00000075,A000060,TRANSFER,6226.1,USD,ELECTRONICS,2025-02-22 07:16:14,COMPLETED
T00000076,A000018,FEE,422.18,USD,TRAVEL,2024-12-30 18:47:01,FAILED
T00000077,A000037,DEBIT,1286.7,USD,UTILITIES,2024-02-16 08:05:02,COMPLETED
T00000078,A000045,INTEREST,3322.1,USD,UTILITIES,2025-05-24 02:58:16,COMPLETED
T00000079,A000004,DEBIT,797.17,USD,ELECTRONICS,2024-03-11 01:23:40,COMPLETED
T00000080,A000061,CREDIT,1114.65,USD,GROCERY,2025-04-08 02:53:04,COMPLETED
T00000081,A000028,TRANSFER,4392.69,USD,TRAVEL,2025-02-01 10:29:22,COMPLETED
T00000082,A000016,DEBIT,3361.51,USD,TRAVEL,2025-03-04 18:11:53,COMPLETED
T00000083,A000003,CREDIT,4602.5,USD,GROCERY,2024-11-10 12:50:44,COMPLETED
T00000084,A000054,DEBIT,5347.38,USD,INVESTMENT,2024-10-05 18:28:16,COMPLETED
T00000085,A000065,CREDIT,3126.68,INR,DINING,2024-05-09 00:35:28,COMPLETED
T00000086,A000009,DEBIT,5864.86,INR,DINING,2024-03-09 01:36:51,COMPLETED
T00000087,A000044,TRANSFER,1404.84,USD,ECOMMERCE,2024-11-19 06:38:11,COMPLETED
T00000088,A000009,TRANSFER,7549.12,USD,HEALTHCARE,2025-03-29 01:31:32,COMPLETED
T00000089,A000040,CREDIT,7913.04,USD,HEALTHCARE,2024-05-26 12:59:49,FAILED
T00000090,A000007,FEE,2658.74,USD,UTILITIES,2025-01-15 16:00:37,FAILED
T00000091,A000050,DEBIT,1498.6,USD,INVESTMENT,2024-05-16 03:00:28,COMPLETED
T00000092,A000011,CREDIT,7960.81,USD,TRAVEL,2024-02-10 11:56:21,COMPLETED
T00000093,A000040,CREDIT,5742.71,USD,ECOMMERCE,2024-01-22 12:50:10,COMPLETED
T00000094,A000056,DEBIT,7840.32,USD,UTILITIES,2024-07-05 18:40:51,COMPLETED
T00000095,A000087,DEBIT,253.97,INR,ECOMMERCE,2024-01-18 04:35:45,COMPLETED
T00000096,A000100,CREDIT,2900.39,USD,ELECTRONICS,2024-12-13 16:22:52,PENDING
T00000097,A000048,CREDIT,619.7,USD,DINING,2024-11-28 10:08:48,COMPLETED
T00000098,A000015,DEBIT,1492.45,EUR,TRAVEL,2024-05-14 09:28:36,COMPLETED
T00000099,A000028,REFUND,2288.19,USD,TRAVEL,2024-03-10 02:41:46,COMPLETED
T00000100,A000092,CREDIT,706.89,EUR,DINING,2024-12-07 12:38:57,COMPLETED
T00000101,A000071,CREDIT,7131.2,INR,ELECTRONICS,2025-02-10 13:09:41,COMPLETED
T00000102,A000016,REFUND,6337.57,USD,DINING,2024-10-10 20:50:09,COMPLETED
T00000103,A000071,DEBIT,7074.55,USD,ECOMMERCE,2024-09-26 14:57:23,COMPLETED
T00000104,A000074,DEBIT,7779.18,USD,INVESTMENT,2024-06-25 04:40:21,FAILED
T00000105,A000100,CREDIT,4704.35,USD,INVESTMENT,2025-04-11 02:01:03,COMPLETED
T00000106,A000067,DEBIT,1321.43,INR,DINING,2025-04-30 18:53:32,FAILED
T00000107,A000011,DEBIT,5082.28,USD,ATM_WITHDRAWAL,2024-11-10 19:25:24,COMPLETED
T00000108,A000083,DEBIT,7533.15,INR,INSURANCE,2024-06-21 20:31:14,COMPLETED
T00000109,A000004,DEBIT,7588.63,USD,HEALTHCARE,2025-01-27 20:49:51,COMPLETED
T00000110,A000082,DEBIT,7112.53,INR,ATM_WITHDRAWAL,2024-09-04 08:54:56,COMPLETED
T00000111,A000088,CREDIT,3631.09,USD,UTILITIES,2024-09-04 16:54:35,COMPLETED
T00000112,A000078,DEBIT,6892.57,GBP,DINING,2025-05-14 14:31:00,COMPLETED
T00000113,A000048,CREDIT,853.94,USD,ECOMMERCE,2024-05-06 05:07:45,COMPLETED
T00000114,A000038,INTEREST,6913.99,GBP,ELECTRONICS,2025-02-20 11:55:17,PENDING
T00000115,A000093,DEBIT,6106.16,USD,ECOMMERCE,2025-03-26 11:14:01,COMPLETED
T00000116,A000012,INTEREST,4046.03,USD,DINING,2024-01-25 01:50:24,COMPLETED
T00000117,A000077,FEE,5235.81,USD,TRAVEL,2024-08-08 04:52:35,FAILED
T00000118,A000094,DEBIT,3229.02,USD,INVESTMENT,2024-04-09 13:11:56,COMPLETED
T00000119,A000010,DEBIT,3605.58,EUR,INSURANCE,2024-12-14 22:14:50,COMPLETED
T00000120,A000013,DEBIT,6360.2,GBP,ELECTRONICS,2024-04-11 21:56:06,COMPLETED
T00000121,A000065,DEBIT,316.12,EUR,INVESTMENT,2024-08-21 05:25:21,COMPLETED
T00000122,A000066,DEBIT,7451.29,USD,INSURANCE,2025-01-13 10:53:41,COMPLETED
T00000123,A000065,TRANSFER,4261.06,USD,GROCERY,2024-07-07 12:03:36,COMPLETED
T00000124,A000054,CREDIT,6375.05,INR,GROCERY,2024-11-01 17:16:45,COMPLETED
T00000125,A000084,TRANSFER,6210.42,INR,INSURANCE,2024-09-02 06:12:29,COMPLETED
T00000126,A000093,CREDIT,6730.13,INR,GROCERY,2024-10-20 04:00:04,COMPLETED
T00000127,A000057,DEBIT,1215.69,USD,INSURANCE,2025-04-16 17:10:14,FAILED
T00000128,A000095,TRANSFER,5647.67,INR,ECOMMERCE,2024-09-26 13:43:11,COMPLETED
T00000129,A000023,CREDIT,4267.35,INR,ATM_WITHDRAWAL,2024-11-08 17:37:42,COMPLETED
T00000130,A000032,DEBIT,2391.5,GBP,ATM_WITHDRAWAL,2024-12-26 07:32:48,COMPLETED
T00000131,A000063,DEBIT,2793.68,INR,ATM_WITHDRAWAL,2024-05-27 04:26:14,COMPLETED
T00000132,A000070,DEBIT,7841.38,GBP,ELECTRONICS,2024-05-28 01:31:53,COMPLETED
T00000133,A000092,DEBIT,7392.46,INR,HEALTHCARE,2024-04-13 19:36:32,COMPLETED
T00000134,A000072,CREDIT,1102.5,INR,HEALTHCARE,2024-01-26 19:20:04,COMPLETED
T00000135,A000030,DEBIT,3309.34,USD,ELECTRONICS,2024-01-03 20:02:15,REVERSED
T00000136,A000021,CREDIT,7480.58,USD,HEALTHCARE,2025-01-22 10:27:29,COMPLETED
T00000137,A000083,DEBIT,6150.96,USD,GROCERY,2025-04-12 06:22:26,COMPLETED
T00000138,A000023,INTEREST,295.54,INR,ELECTRONICS,2025-04-24 10:32:21,FAILED
T00000139,A000002,DEBIT,4824.25,USD,ECOMMERCE,2025-05-21 23:20:58,COMPLETED
T00000140,A000064,FEE,1077.93,USD,TRAVEL,2024-06-18 05:54:58,COMPLETED
T00000141,A000083,DEBIT,1493.66,INR,INSURANCE,2024-12-11 07:01:58,COMPLETED
T00000142,A000082,FEE,6616.78,USD,TRAVEL,2024-04-04 05:07:10,COMPLETED
T00000143,A000032,DEBIT,3071.68,USD,DINING,2024-06-03 21:12:24,COMPLETED
T00000144,A000002,DEBIT,2879.62,INR,ECOMMERCE,2024-06-06 05:48:54,COMPLETED
T00000145,A000065,INTEREST,7102.97,INR,ATM_WITHDRAWAL,2024-07-07 22:22:40,COMPLETED
T00000146,A000018,CREDIT,3642.55,USD,INVESTMENT,2025-04-12 17:08:32,COMPLETED
T00000147,A000086,TRANSFER,6096.07,INR,TRAVEL,2024-09-26 16:15:56,COMPLETED
T00000148,A000047,DEBIT,4515.53,USD,INVESTMENT,2024-04-13 20:51:05,COMPLETED
T00000149,A000022,DEBIT,4165.13,USD,INSURANCE,2024-09-07 03:18:39,FAILED
T00000150,A000058,TRANSFER,3630.19,USD,GROCERY,2024-10-13 16:50:04,COMPLETED
T00000151,A000040,TRANSFER,3170.61,INR,INSURANCE,2024-02-07 01:38:56,COMPLETED
T00000152,A000090,DEBIT,7953.02,USD,ECOMMERCE,2024-01-17 10:27:09,COMPLETED
T00000153,A000099,DEBIT,5133.99,GBP,DINING,2025-05-23 13:55:32,COMPLETED
T00000154,A000049,DEBIT,5463.43,USD,DINING,2024-03-01 06:29:52,BLOCKED
T00000155,A000051,CREDIT,5824.23,USD,GROCERY,2025-05-15 10:51:47,COMPLETED
T00000156,A000093,CREDIT,4257.81,USD,DINING,2024-03-20 10:02:09,COMPLETED
T00000157,A000093,TRANSFER,262.58,INR,GROCERY,2024-05-03 07:30:11,COMPLETED
T00000158,A000077,DEBIT,4784.29,USD,GROCERY,2024-07-24 15:58:55,COMPLETED
T00000159,A000028,TRANSFER,6209.63,GBP,HEALTHCARE,2025-02-21 20:58:31,COMPLETED
T00000160,A000077,TRANSFER,6547.97,EUR,INVESTMENT,2024-04-23 15:03:26,COMPLETED
T00000161,A000008,CREDIT,4735.38,USD,UTILITIES,2024-10-11 18:02:42,COMPLETED
T00000162,A000045,INTEREST,5372.38,USD,UTILITIES,2024-07-28 05:25:58,COMPLETED
T00000163,A000024,TRANSFER,3790.78,USD,ELECTRONICS,2025-02-16 16:51:29,FAILED
T00000164,A000072,CREDIT,3334.98,USD,ATM_WITHDRAWAL,2024-04-14 12:01:28,COMPLETED
T00000165,A000058,TRANSFER,744.25,USD,ATM_WITHDRAWAL,2024-07-12 22:01:34,COMPLETED
T00000166,A000010,DEBIT,6094.76,INR,ECOMMERCE,2024-04-16 12:07:22,COMPLETED
T00000167,A000002,DEBIT,1524.24,INR,ECOMMERCE,2025-04-13 08:49:57,COMPLETED
T00000168,A000091,DEBIT,7321.44,INR,UTILITIES,2024-08-26 19:25:46,COMPLETED
T00000169,A000040,DEBIT,4104.97,USD,ECOMMERCE,2025-01-24 11:39:33,FAILED
T00000170,A000048,DEBIT,370.5,INR,GROCERY,2024-05-13 20:08:43,PENDING
T00000171,A000075,TRANSFER,2365.06,USD,INSURANCE,2025-03-02 08:56:48,COMPLETED
T00000172,A000084,INTEREST,2703.83,USD,ECOMMERCE,2024-08-23 06:07:30,COMPLETED
T00000173,A000046,DEBIT,5763.91,EUR,INVESTMENT,2025-05-22 23:22:03,PENDING
T00000174,A000068,DEBIT,6774.35,INR,GROCERY,2024-07-30 05:00:21,COMPLETED
T00000175,A000030,DEBIT,1212.48,USD,GROCERY,2024-11-12 23:13:08,COMPLETED
T00000176,A000079,FEE,99999.0,USD,INVESTMENT,2025-01-04 10:00:10,COMPLETED
T00000177,A000037,DEBIT,6506.19,EUR,ELECTRONICS,2024-02-24 03:30:24,COMPLETED
T00000178,A000031,DEBIT,4214.02,USD,UTILITIES,2024-02-10 13:34:56,PENDING
T00000179,A000059,CREDIT,7921.91,INR,TRAVEL,2024-11-30 23:39:42,COMPLETED
T00000180,A000012,CREDIT,3020.47,INR,ELECTRONICS,2024-02-12 18:11:57,COMPLETED
T00000181,A000083,TRANSFER,4529.02,USD,INVESTMENT,2025-04-15 01:32:57,COMPLETED
T00000182,A000089,FEE,3806.62,USD,ATM_WITHDRAWAL,2025-04-05 19:46:16,COMPLETED
T00000183,A000005,DEBIT,25000.0,INR,UTILITIES,2025-04-20 02:48:04,COMPLETED
T00000184,A000073,DEBIT,6678.03,EUR,DINING,2024-07-15 05:05:43,COMPLETED
T00000185,A000089,TRANSFER,4008.84,USD,UTILITIES,2024-04-28 02:46:03,COMPLETED
T00000186,A000099,CREDIT,4766.89,USD,ATM_WITHDRAWAL,2025-02-05 16:24:14,COMPLETED
T00000187,A000046,CREDIT,3006.54,INR,UTILITIES,2024-02-13 22:31:23,COMPLETED
T00000188,A000032,TRANSFER,660.89,INR,ELECTRONICS,2025-01-13 14:11:08,COMPLETED
T00000189,A000014,DEBIT,7543.97,INR,TRAVEL,2024-03-08 03:10:42,COMPLETED
T00000190,A000058,CREDIT,4101.96,USD,INVESTMENT,2024-02-17 21:44:00,COMPLETED
T00000191,A000042,FEE,103.66,INR,INVESTMENT,2025-04-08 08:50:16,COMPLETED
T00000192,A000022,CREDIT,1360.17,USD,ELECTRONICS,2024-02-02 06:05:16,COMPLETED
T00000193,A000054,DEBIT,6262.42,GBP,ECOMMERCE,2024-10-31 22:27:08,COMPLETED
T00000194,A000014,DEBIT,59.11,EUR,UTILITIES,2025-02-15 11:59:53,COMPLETED
T00000195,A000056,TRANSFER,6876.77,USD,DINING,2024-11-04 07:18:46,COMPLETED
T00000196,A000023,INTEREST,7749.96,INR,ECOMMERCE,2025-05-10 20:58:01,COMPLETED
T00000197,A000042,DEBIT,6532.87,USD,INSURANCE,2024-04-12 21:33:44,BLOCKED
T00000198,A000024,CREDIT,4403.04,USD,HEALTHCARE,2024-08-12 10:36:25,COMPLETED
T00000199,A000009,TRANSFER,6366.28,USD,ATM_WITHDRAWAL,2024-05-03 09:11:59,COMPLETED
T00000200,A000092,CREDIT,3019.04,INR,INSURANCE,2024-07-24 19:27:20,COMPLETED
T00000201,A000089,CREDIT,298.94,INR,INVESTMENT,2024-10-31 23:14:07,FAILED
T00000202,A000014,TRANSFER,5262.53,INR,GROCERY,2024-10-15 23:29:05,COMPLETED
T00000203,A000052,INTEREST,2656.12,USD,TRAVEL,2024-05-12 08:04:58,COMPLETED
T00000204,A000067,CREDIT,5502.88,USD,ECOMMERCE,2025-01-30 21:25:47,COMPLETED
T00000205,A000020,DEBIT,201.38,USD,TRAVEL,2024-02-29 05:09:29,COMPLETED
T00000206,A000044,CREDIT,1658.9,USD,ECOMMERCE,2025-01-04 16:28:23,COMPLETED
T00000207,A000039,DEBIT,5687.68,USD,TRAVEL,2024-12-12 05:59:02,FAILED
T00000208,A000095,DEBIT,1399.75,INR,ECOMMERCE,2024-04-28 14:44:50,COMPLETED
T00000209,A000024,CREDIT,3459.91,INR,HEALTHCARE,2024-08-18 21:33:41,COMPLETED
T00000210,A000001,TRANSFER,1650.25,EUR,TRAVEL,2024-10-22 03:42:16,COMPLETED
T00000211,A000069,DEBIT,2611.25,USD,ECOMMERCE,2024-09-27 23:16:09,COMPLETED
T00000212,A000050,CREDIT,4698.1,EUR,INSURANCE,2024-03-29 10:49:46,FAILED
T00000213,A000076,DEBIT,1075.91,USD,ELECTRONICS,2024-07-10 05:08:48,COMPLETED
T00000214,A000054,CREDIT,4600.57,USD,INVESTMENT,2024-12-21 23:29:35,PENDING
T00000215,A000023,CREDIT,3919.69,USD,ECOMMERCE,2024-11-13 01:57:06,FAILED
T00000216,A000002,CREDIT,1565.05,INR,ECOMMERCE,2024-07-28 17:54:11,COMPLETED
T00000217,A000057,CREDIT,665.95,INR,ATM_WITHDRAWAL,2024-01-17 10:00:25,COMPLETED
T00000218,A000037,DEBIT,3661.28,INR,INVESTMENT,2024-09-18 04:07:18,COMPLETED
T00000219,A000035,TRANSFER,6587.15,EUR,GROCERY,2025-01-24 16:04:10,COMPLETED
T00000220,A000055,DEBIT,6641.42,USD,GROCERY,2024-08-18 09:34:07,COMPLETED
T00000221,A000012,CREDIT,7951.69,USD,INSURANCE,2024-12-18 12:45:57,FAILED
T00000222,A000079,CREDIT,1332.02,USD,HEALTHCARE,2025-02-16 02:09:40,COMPLETED
T00000223,A000069,DEBIT,4312.45,INR,ATM_WITHDRAWAL,2024-10-20 09:44:01,PENDING
T00000224,A000066,REFUND,5436.0,GBP,UTILITIES,2025-04-15 02:09:30,BLOCKED
T00000225,A000084,DEBIT,6929.3,INR,HEALTHCARE,2025-01-24 14:17:52,COMPLETED
T00000226,A000074,CREDIT,5024.36,USD,TRAVEL,2024-07-25 18:46:22,COMPLETED
T00000227,A000089,INTEREST,2955.72,USD,GROCERY,2025-03-20 03:23:28,COMPLETED
T00000228,A000059,CREDIT,5579.83,INR,UTILITIES,2024-04-21 15:38:34,COMPLETED
T00000229,A000064,DEBIT,6627.61,INR,INSURANCE,2025-03-12 17:40:14,COMPLETED
T00000230,A000088,TRANSFER,372.31,EUR,GROCERY,2024-03-04 05:45:07,COMPLETED
T00000231,A000001,REFUND,3425.26,EUR,ATM_WITHDRAWAL,2024-03-22 09:58:36,COMPLETED
T00000232,A000047,DEBIT,2977.89,USD,UTILITIES,2024-11-16 11:07:23,COMPLETED
T00000233,A000097,DEBIT,5245.6,USD,ECOMMERCE,2024-02-09 04:49:53,COMPLETED
T00000234,A000067,CREDIT,79.25,EUR,UTILITIES,2024-12-21 04:48:44,COMPLETED
T00000235,A000030,DEBIT,5847.45,USD,ATM_WITHDRAWAL,2024-03-11 13:56:04,COMPLETED
T00000236,A000097,FEE,5134.4,USD,INSURANCE,2024-01-05 22:13:15,COMPLETED
T00000237,A000057,DEBIT,1708.38,EUR,INSURANCE,2024-12-17 16:06:24,FAILED
T00000238,A000012,FEE,1124.41,INR,DINING,2025-05-08 15:38:00,COMPLETED
T00000239,A000018,DEBIT,5158.74,INR,INSURANCE,2024-05-25 00:58:35,COMPLETED
T00000240,A000085,FEE,1647.54,USD,UTILITIES,2024-05-31 23:31:34,COMPLETED
T00000241,A000031,CREDIT,906.39,INR,INVESTMENT,2025-03-31 00:26:21,BLOCKED
T00000242,A000041,DEBIT,6887.21,USD,ELECTRONICS,2025-01-25 17:08:56,PENDING
T00000243,A000099,DEBIT,25000.0,USD,GROCERY,2025-04-30 14:29:23,COMPLETED
T00000244,A000081,TRANSFER,6138.04,USD,INVESTMENT,2024-10-02 22:25:46,COMPLETED
T00000245,A000011,DEBIT,4092.88,EUR,INVESTMENT,2024-06-16 14:13:33,COMPLETED
T00000246,A000098,TRANSFER,5450.04,INR,HEALTHCARE,2024-01-30 08:54:04,COMPLETED
T00000247,A000056,DEBIT,4900.31,INR,ELECTRONICS,2024-03-02 00:27:40,COMPLETED
T00000248,A000090,DEBIT,3973.82,USD,ATM_WITHDRAWAL,2024-03-26 13:32:21,COMPLETED
T00000249,A000100,FEE,5864.82,EUR,DINING,2025-02-17 15:37:52,COMPLETED
T00000250,A000009,DEBIT,7800.53,USD,INVESTMENT,2024-07-03 02:01:06,COMPLETED
T00000251,A000073,DEBIT,1262.69,EUR,TRAVEL,2024-04-26 18:31:32,COMPLETED
T00000252,A000002,DEBIT,3776.76,USD,GROCERY,2024-10-10 23:52:24,COMPLETED
T00000253,A000042,DEBIT,7327.26,EUR,INSURANCE,2024-07-09 04:20:50,COMPLETED
T00000254,A000007,DEBIT,6435.68,GBP,TRAVEL,2025-03-25 16:56:00,FAILED
T00000255,A000100,TRANSFER,2621.77,USD,HEALTHCARE,2024-05-29 20:31:39,COMPLETED
T00000256,A000095,CREDIT,3714.09,USD,HEALTHCARE,2025-01-10 19:53:58,COMPLETED
T00000257,A000032,DEBIT,7459.52,USD,GROCERY,2025-05-01 12:11:51,COMPLETED
T00000258,A000085,DEBIT,5905.97,USD,HEALTHCARE,2024-08-02 17:54:51,REVERSED
T00000259,A000019,TRANSFER,748.75,EUR,INVESTMENT,2024-07-30 13:33:43,COMPLETED
T00000260,A000096,DEBIT,769.14,EUR,TRAVEL,2024-10-30 20:40:25,COMPLETED
T00000261,A000085,INTEREST,1897.99,USD,UTILITIES,2024-12-24 11:52:42,COMPLETED
T00000262,A000035,DEBIT,7548.72,INR,TRAVEL,2024-03-20 03:50:48,COMPLETED
T00000263,A000060,DEBIT,970.29,INR,ECOMMERCE,2024-06-06 16:52:11,COMPLETED
T00000264,A000016,DEBIT,6461.74,INR,INSURANCE,2024-01-21 07:49:43,COMPLETED
T00000265,A000042,DEBIT,5690.7,USD,GROCERY,2024-12-12 10:52:49,COMPLETED
T00000266,A000023,DEBIT,3238.12,INR,HEALTHCARE,2024-02-18 16:49:20,COMPLETED
T00000267,A000018,DEBIT,498.05,USD,HEALTHCARE,2025-02-25 14:35:05,COMPLETED
T00000268,A000081,INTEREST,676.9,EUR,TRAVEL,2024-01-12 02:20:50,COMPLETED
T00000269,A000083,CREDIT,1034.69,EUR,DINING,2024-03-03 01:33:16,PENDING
T00000270,A000007,DEBIT,4593.2,USD,GROCERY,2024-07-14 15:32:03,COMPLETED
T00000271,A000028,FEE,2203.48,USD,INSURANCE,2024-11-13 22:27:48,COMPLETED
T00000272,A000038,CREDIT,7062.81,USD,UTILITIES,2024-03-11 15:15:49,COMPLETED
T00000273,A000068,DEBIT,7952.73,USD,UTILITIES,2025-02-04 13:04:29,COMPLETED
T00000274,A000101,CREDIT,7301.85,USD,ELECTRONICS,2024-01-14 11:36:35,COMPLETED
